Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,46.660000,47.419998,45.490002,46.230000,40.248043,133149800
2015-01-08,46.750000,47.910000,45.619999,45.959999,40.012993,142231500
2015-01-15,46.220001,46.650002,45.169998,45.919998,39.978149,143689100
2015-01-22,46.380001,47.389999,41.160000,41.189999,35.860191,358306200
2015-01-29,40.930000,42.209999,40.230000,41.840000,36.426086,285639900
2015-02-05,42.220001,42.790001,41.860001,42.380001,36.896210,170479100
2015-02-12,42.660000,44.000000,42.509998,43.529999,37.897408,134341100
2015-02-19,43.180000,44.299999,43.049999,43.990002,38.570450,144874800
2015-02-26,43.990002,44.230000,42.880001,43.060001,37.755016,152186300
2015-03-05,43.070000,43.240002,41.840000,41.980000,36.808067,162925300
2015-03-12,41.330002,42.830002,40.610001,42.500000,37.264015,229141900
2015-03-19,42.259998,43.169998,41.439999,41.459999,36.352135,201012900
2015-03-26,41.220001,41.610001,40.310001,40.720001,35.703312,178699200
2015-04-02,40.660000,41.910000,40.119999,41.419998,36.317059,130274000
2015-04-09,41.250000,42.459999,41.250000,42.259998,37.053570,135610600
2015-04-16,41.950001,43.169998,41.160000,42.990002,37.693638,162033100
2015-04-23,42.889999,49.310001,42.799999,49.060001,43.015820,345026800
2015-04-30,48.700001,49.540001,46.020000,46.279999,40.578316,240504500
2015-05-07,46.270000,48.320000,46.160000,47.630001,41.761993,157058900
2015-05-14,48.029999,48.910000,47.180000,47.580002,41.718159,139382800
2015-05-21,47.279999,47.770000,46.189999,47.610001,42.015743,105048800
2015-05-28,47.500000,48.020000,46.590000,46.849998,41.345047,134141100
2015-06-04,46.790001,47.160000,45.459999,46.610001,41.133255,128128700
2015-06-11,46.660000,46.919998,45.020000,45.970001,40.568455,140307700
2015-06-18,46.220001,46.830002,45.549999,45.639999,40.277237,177600800
2015-06-25,46.029999,46.279999,43.939999,44.450001,39.227055,168822300
2015-07-02,44.480000,44.900002,43.320000,44.240002,39.041737,121007700
2015-07-09,44.750000,45.959999,44.500000,45.759998,40.383125,135578700
2015-07-16,46.009998,47.330002,45.200001,45.540001,40.188976,188305000
2015-07-23,45.270000,46.779999,44.790001,46.290001,40.850857,181243400
2015-07-30,46.259998,48.410000,45.930000,47.580002,41.989277,155468900
2015-08-06,47.709999,47.770000,45.709999,46.740002,41.247978,129029700
2015-08-13,47.060001,47.450001,46.299999,46.610001,41.133255,120259900
2015-08-20,46.070000,46.470001,39.720001,42.709999,37.940056,329069600
2015-08-27,43.230000,44.150002,41.660000,43.360001,38.517475,200992000
2015-09-03,43.410000,44.400002,42.200001,43.070000,38.259853,131363300
2015-09-10,43.119999,44.380001,42.750000,44.299999,39.352489,134409500
2015-09-17,44.290001,45.000000,43.310001,43.869999,38.970505,167320200
2015-09-24,43.450001,44.730000,43.049999,44.259998,39.316956,152626500
2015-10-01,44.750000,47.349998,43.750000,46.799999,41.573284,159594900
2015-10-08,46.560001,47.540001,46.500000,46.680000,41.466686,126828000
2015-10-15,47.009998,47.990002,46.529999,47.200001,41.928608,138973800
2015-10-22,47.529999,54.369999,47.090000,53.980000,47.951408,354498200
2015-10-29,53.540001,54.880001,52.619999,54.400002,48.324501,180791600
2015-11-05,54.490002,54.980000,53.270000,53.650002,47.658260,188632800
2015-11-12,53.480000,53.980000,52.529999,53.849998,47.835915,165635800
2015-11-19,53.990002,54.660000,53.270000,53.689999,48.015266,139137800
2015-11-26,53.799999,55.959999,53.790001,55.209999,49.374603,152478200
2015-12-03,55.490002,56.230000,53.930000,54.980000,49.168915,182552500
2015-12-10,55.389999,56.250000,53.680000,56.130001,50.197372,195440500
2015-12-17,56.360001,56.790001,54.029999,55.820000,49.920132,218813400
2015-12-24,55.860001,56.849998,54.980000,56.310001,50.358345,81452700
2015-12-31,56.040001,56.189999,53.389999,54.049999,48.337223,154710700
2016-01-07,52.700001,54.070000,51.299999,51.639999,46.181931,245241800
2016-01-14,52.000000,53.419998,49.099998,50.790001,45.421776,231040100
2016-01-21,51.000000,52.650002,50.299999,51.220001,45.806332,178130700
2016-01-28,51.860001,55.090000,51.250000,52.160000,46.646976,304207600
2016-02-04,52.099998,52.810001,48.189999,49.709999,44.455925,253264100
2016-02-11,48.680000,52.770000,48.509998,52.419998,46.879494,161202100
2016-02-18,52.330002,53.000000,50.200001,51.360001,46.261318,147653200
2016-02-25,51.730000,52.959999,50.610001,52.950001,47.693474,156883800
2016-03-03,52.970001,52.970001,50.580002,52.840000,47.594398,157956500
2016-03-10,52.930000,54.599998,51.160000,54.349998,48.954479,147543600
2016-03-17,54.209999,55.000000,52.930000,53.970001,48.612209,163028200
2016-03-24,53.840000,55.639999,53.330002,55.049999,49.584999,83907700
2016-03-31,54.950001,55.660000,54.209999,55.119999,49.648052,110149500
2016-04-07,54.869999,55.439999,53.759998,55.349998,49.855209,108568800
2016-04-14,55.220001,56.770000,55.070000,55.590000,50.071388,139249400
2016-04-21,55.799999,56.230000,50.549999,50.939999,45.883011,275872000
2016-04-28,50.619999,50.770000,49.349998,49.869999,44.919224,175378800
2016-05-05,49.869999,51.779999,49.660000,51.049999,45.982079,115059700
2016-05-12,51.200001,51.959999,50.299999,50.810001,45.765919,119438100
2016-05-19,50.470001,52.490002,49.820000,52.119999,47.274231,132665000
2016-05-26,51.930000,53.000000,51.360001,52.849998,47.936348,105034500
2016-06-02,52.639999,52.740002,51.599998,52.040001,47.201656,106468600
2016-06-09,52.000000,52.049999,49.060001,49.689999,45.070152,205691400
2016-06-16,49.520000,51.459999,49.509998,50.990002,46.249287,175421600
2016-06-23,51.279999,52.060001,48.040001,50.540001,45.841125,282192800
2016-06-30,50.720001,51.720001,50.389999,51.380001,46.603035,102902100
2016-07-07,51.419998,53.860001,51.070000,53.509998,48.534988,122919800
2016-07-14,53.840000,56.840000,52.930000,55.910000,50.711853,231233600
2016-07-21,55.980000,57.290001,55.759998,56.189999,50.965828,150951000
2016-07-28,56.000000,57.110001,55.720001,56.970001,51.673309,151310100
2016-08-04,56.799999,58.500000,56.669998,58.020000,52.625687,108074000
2016-08-11,58.029999,58.500000,57.230000,57.560001,52.208458,98481300
2016-08-18,57.419998,58.180000,57.200001,57.950001,52.889790,83591100
2016-08-25,57.880001,58.700001,57.299999,57.459999,52.442574,93731500
2016-09-01,57.009998,58.189999,57.009998,57.660000,52.625114,78747700
2016-09-08,57.630001,57.790001,55.610001,56.259998,51.347359,138755700
2016-09-15,56.150002,57.849998,55.980000,57.759998,52.716373,143482400
2016-09-22,57.919998,58.060001,56.680000,58.029999,52.962799,110067700
2016-09-29,57.810001,58.169998,56.970001,57.639999,52.606857,111376100
